n,Treatment,treatment_label,gender,age,study,DictatorCharity,giveC,min_ug,Favor_intentions,Favor_revenge,Favor_return,Punish_Self,Punish_Others,Gift,Give_Charity,Donation_Good_Cause,Wage,Effort,Acceptance
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,20,0.0,0.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,25,1.0,1.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,30,1.0,1.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,35,1.0,1.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,40,1.0,1.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,45,1.0,1.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,50,1.0,1.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,55,1.0,1.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,60,1.0,1.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,65,1.0,1.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,75,1.0,1.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,85,1.0,1.0
3,P,GE,0,19,1,0,0.0,30.0,1,6,6,7,7,5,4,100,95,1.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,1,0.0,0.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,3,0.0,0.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,5,0.0,0.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,10,0.0,0.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,15,1.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,20,1.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,25,1.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,30,1.0,1.0
