table_id,model,term,coefficient,std_error,fit_stat,observations,p_value
Table A.5,5,Wage<5,-4.593110910668932,0.45442232,,2790,0.0
Table A.5,5,GE treatment,-0.3774267338337342,0.39475915,,2790,0.3390249005994672
Table A.5,5,Efficiency treatment,-0.9868796828918708,0.34855914,,2790,0.004635747387699007
Table A.5,5,Wage<5*GE treatment,-1.601986598432294,0.8731792,,2790,0.06655614240553964
Table A.5,5,Wage<5*Efficiency treatment,-0.6870706937381655,0.72588468,,2790,0.3438789831081406
Table A.5,5,Constant,2.325391170175911,0.31172502,,2790,8.659739592076221e-14
Table A.5,6,Wage<5,-4.593482349483981,0.45364571,,2790,0.0
Table A.5,6,GE treatment,-0.3240309000690408,0.3840431,,2790,0.3988170753326101
Table A.5,6,Efficiency treatment,-0.9242268648946436,0.34795547,,2790,0.007903511921137696
Table A.5,6,Wage<5*GE treatment,-1.57890409058872,0.87244815,,2790,0.07033615626420087
Table A.5,6,Wage<5*Efficiency treatment,-0.6922951138905157,0.71585423,,2790,0.33349929088079566
Table A.5,6,Constant,2.56951676115982,0.73434758,,2790,0.000466924114563394
Table A.6,1,Wage,0.0861008215795213,0.0039901794,0.43612659,2520,0.0
Table A.6,1,Constant,0.644984870996482,0.14568174,0.43612659,2520,9.539538235348033e-06
Table A.6,2,Wage,0.087003925852053,0.0065979278,0.44316563,2520,0.0
Table A.6,2,GE treatment,-0.7489469439080331,0.30183858,0.44316563,2520,0.013091038394370313
Table A.6,2,Neutral treatment,-0.2941768506645558,0.40914464,0.44316563,2520,0.47213812692209944
Table A.6,2,Wage*GE treatment,0.0042483892925547,0.0093856351,0.44316563,2520,0.6508022033836263
Table A.6,2,Wage*Neutral treatment,-0.0072468643312076,0.0099097034,0.44316563,2520,0.46460220168473887
Table A.6,2,Constant,0.9909739041648402,0.26664734,0.44316563,2520,0.00020206439194403458
Table A.6,3,Wage,0.0870039258520526,0.0066031828,0.46642259,2520,0.0
Table A.6,3,GE treatment,-0.7149951307208631,0.34774575,0.46642259,2520,0.039774237817593594
Table A.6,3,Neutral treatment,-0.4862019352661516,0.42637184,0.46642259,2520,0.25415144693312586
Table A.6,3,Wage*GE treatment,0.004248389292555,0.0093931109,0.46642259,2520,0.6510616768630482
Table A.6,3,Wage*Neutral treatment,-0.0072468643312069,0.0099175964,0.46642259,2520,0.4649576943072793
Table A.6,3,Constant,-2.084076715476434,0.79532564,0.46642259,2520,0.008782493243761014
Table A.6,4,Wage,0.1334970332477425,0.0065729856,0.12999631,2520,0.0
Table A.6,4,Constant,-1.734439740820257,0.29030013,0.12999631,2520,2.3059409937076225e-09
Table A.6,5,Wage,0.1317110068392379,0.011918488,0.13248791,2520,0.0
Table A.6,5,GE treatment,-1.433407371157884,0.62439573,0.13248791,2520,0.021694681349491818
Table A.6,5,Neutral treatment,-0.3741150393911856,0.76573402,0.13248791,2520,0.6251458150144553
Table A.6,5,Wage*GE treatment,0.0135285067614126,0.015978128,0.13248791,2520,0.397168437724305
Table A.6,5,Wage*Neutral treatment,-0.0087597220938694,0.016542738,0.13248791,2520,0.596444293354411
Table A.6,5,Constant,-1.130906951550266,0.52050829,0.13248791,2520,0.02980310782322948
Table A.6,6,Wage,0.1312147580821974,0.011835869,0.14077495,2520,0.0
Table A.6,6,GE treatment,-1.42670183837222,0.67212832,0.14077495,2520,0.03378211131280917
Table A.6,6,Neutral treatment,-0.6604854515844474,0.77309942,0.14077495,2520,0.39291971598353115
Table A.6,6,Wage*GE treatment,0.0140712731443313,0.015961606,0.14077495,2520,0.3780093794511996
Table A.6,6,Wage*Neutral treatment,-0.0087379409897244,0.016448405,0.14077495,2520,0.595257097826454
Table A.6,6,Constant,-5.499932630523945,1.2248499,0.14077495,2520,7.112589446078843e-06
Table A.7,1,Wage,0.0811453397613544,0.0036247747,0.41850421,2790,0.0
Table A.7,1,Constant,0.3439588704698537,0.13546799,0.41850421,2790,0.011115658556357433
Table A.7,2,Wage,0.087003925852052,0.0065949974,0.47452378,2790,0.0
Table A.7,2,GE treatment,-0.7489469439080069,0.3017045,0.47452378,2790,0.013050591995678484
Table A.7,2,Efficiency treatment,-1.084780397650773,0.35632944,0.47452378,2790,0.0023320790208212205
Table A.7,2,Wage*GE treatment,0.0042483892925554,0.0093814665,0.47452378,2790,0.6506573565284959
Table A.7,2,Wage*Efficiency treatment,-0.0184625856801377,0.0084661581,0.47452378,2790,0.029201812934337434
Table A.7,2,Constant,0.9909739041648438,0.2665289,0.47452378,2790,0.00020074827337501766
Table A.7,3,Wage,0.0870039258520544,0.0065997401,0.495161,2790,0.0
Table A.7,3,GE treatment,-0.5752811867362314,0.34865668,0.495161,2790,0.09894430599310855
Table A.7,3,Efficiency treatment,-0.942849956066003,0.39048329,0.495161,2790,0.01575371596452646
Table A.7,3,Wage*GE treatment,0.0042483892925527,0.009388214,0.495161,2790,0.6508917549307374
Table A.7,3,Wage*Efficiency treatment,-0.0184625856801402,0.008472247,0.495161,2790,0.02931799701764759
Table A.7,3,Constant,-0.4302163451740919,0.9313091,0.495161,2790,0.6441186349239114
Table A.7,4,Wage,0.1282858239103672,0.0063372324,0.12885533,2790,0.0
Table A.7,4,Constant,-2.308347872987171,0.29346314,0.12885533,2790,3.552713678800501e-15
Table A.7,5,Wage,0.1279850243783472,0.011490752,0.14863364,2790,0.0
Table A.7,5,GE treatment,-1.389200317872634,0.59959614,0.14863364,2790,0.020509541347775606
Table A.7,5,Efficiency treatment,-2.224606688848047,0.74682474,0.14863364,2790,0.0028942366116284646
Table A.7,5,Wage*GE treatment,0.0129729716400431,0.015478516,0.14863364,2790,0.40195903714737335
Table A.7,5,Wage*Efficiency treatment,-0.0117430545942481,0.014547431,0.14863364,2790,0.4195366825270064
Table A.7,5,Constant,-0.9547819483822012,0.50090742,0.14863364,2790,0.05663663318538781
Table A.7,6,Wage,0.1273133710380881,0.011371898,0.15567641,2790,0.0
Table A.7,6,GE treatment,-1.162657852892835,0.64577526,0.15567641,2790,0.07179650521789904
Table A.7,6,Efficiency treatment,-2.030265070117119,0.77094644,0.15567641,2790,0.008451706007885917
Table A.7,6,Wage*GE treatment,0.0132930736826526,0.015412752,0.15567641,2790,0.3884275977350289
Table A.7,6,Wage*Efficiency treatment,-0.0117083010491494,0.014408362,0.15567641,2790,0.4164448009383235
Table A.7,6,Constant,-2.910375835486952,1.3439944,0.15567641,2790,0.03035192205347559
Table A.8,1,GE treatment,-10.19636524822694,3.9526601,0.057946682,140,0.009890878291244576
Table A.8,1,Neutral treatment,-0.570833333333336,4.1741667,0.057946682,140,0.8912253695183441
Table A.8,1,Constant,35.77083333333333,3.1065388,0.057946682,140,0.0
Table A.8,2,GE treatment,-10.18863330928675,3.9523938,0.062824421,140,0.009942042263417106
Table A.8,2,Neutral treatment,-0.7228010786850257,4.1841741,0.062824421,140,0.862850757704309
Table A.8,2,Charitable motivation,0.0792875193139248,0.086124003,0.062824421,140,0.35724861604185554
Table A.8,2,Constant,34.54848407724366,3.5185769,0.062824421,140,0.0
Table A.8,3,GE treatment,-14.59329598740218,5.669951,0.073470041,140,0.010058962546224182
Table A.8,3,Neutral treatment,-1.930008261445951,5.6826086,0.073470041,140,0.734132014912857
Table A.8,3,Charitable motivation,-0.0364800476474085,0.16196649,0.073470041,140,0.8217987428728715
Table A.8,3,GE treatment*Charitable motivation,0.2867896451706277,0.20422018,0.073470041,140,0.16022480265937467
Table A.8,3,Neutral treatment*Charitable motivation,0.0824477895828928,0.21388541,0.073470041,140,0.6998844475734909
Table A.8,3,Constant,36.33323406789754,4.3881693,0.073470041,140,0.0
