Term,1,2,3,4
Prosocial treatment,10.196***,10.187**,14.593**,13.218**
,(3.952),(3.958),(5.668),(5.669)
Constant,25.574***,24.072***,21.740***,21.360
,(2.443),(3.161),(3.589),(13.294)
Charitable motivation,,0.098,0.250**,0.145
,,(0.110),(0.124),(0.149)
Prosocial treatment*Charitable motivation,,,-0.287,-0.182
,,,(0.204),(0.203)
Observations,95,95,95,95
R-squared / pseudo R-squared,0.066,0.073,0.088,0.115
