table_id,model,term,coefficient,std_error,fit_stat,observations
Table A.6,4,Constant,-1.734439740820257,.29030013,.12999631,2520
Table A.6,5,Wage,.1317110068392379,.011918488,.13248791,2520
Table A.6,5,GE treatment,-1.433407371157884,.62439573,.13248791,2520
Table A.6,5,Neutral treatment,-.3741150393911856,.76573402,.13248791,2520
Table A.6,5,Wage*GE treatment,.0135285067614126,.015978128,.13248791,2520
Table A.6,5,Wage*Neutral treatment,-.0087597220938694,.016542738,.13248791,2520
Table A.6,5,Constant,-1.130906951550266,.52050829,.13248791,2520
Table A.6,6,Wage,.1312147580821974,.011835869,.14077495,2520
Table A.6,6,GE treatment,-1.42670183837222,.67212832,.14077495,2520
Table A.6,6,Neutral treatment,-.6604854515844474,.77309942,.14077495,2520
Table A.6,6,Wage*GE treatment,.0140712731443313,.015961606,.14077495,2520
Table A.6,6,Wage*Neutral treatment,-.0087379409897244,.016448405,.14077495,2520
Table A.6,6,Constant,-5.499932630523945,1.2248499,.14077495,2520
Table A.7,1,Wage,.0811453397613544,.0036247747,.41850421,2790
Table A.7,1,Constant,.3439588704698537,.13546799,.41850421,2790
Table A.7,2,Wage,.087003925852052,.0065949974,.47452378,2790
Table A.7,2,GE treatment,-.7489469439080069,.3017045,.47452378,2790
Table A.7,2,Efficiency treatment,-1.084780397650773,.35632944,.47452378,2790
Table A.7,2,Wage*GE treatment,.0042483892925554,.0093814665,.47452378,2790
Table A.7,2,Wage*Efficiency treatment,-.0184625856801377,.0084661581,.47452378,2790
Table A.7,2,Constant,.9909739041648438,.2665289,.47452378,2790
Table A.7,3,Wage,.0870039258520544,.0065997401,.495161,2790
Table A.7,3,GE treatment,-.5752811867362314,.34865668,.495161,2790
Table A.7,3,Efficiency treatment,-.942849956066003,.39048329,.495161,2790
Table A.7,3,Wage*GE treatment,.0042483892925527,.009388214,.495161,2790
Table A.7,3,Wage*Efficiency treatment,-.0184625856801402,.008472247,.495161,2790
Table A.7,3,Constant,-.4302163451740919,.9313091,.495161,2790
Table A.7,4,Wage,.1282858239103672,.0063372324,.12885533,2790
Table A.7,4,Constant,-2.308347872987171,.29346314,.12885533,2790
Table A.7,5,Wage,.1279850243783472,.011490752,.14863364,2790
Table A.7,5,GE treatment,-1.389200317872634,.59959614,.14863364,2790
Table A.7,5,Efficiency treatment,-2.224606688848047,.74682474,.14863364,2790
Table A.7,5,Wage*GE treatment,.0129729716400431,.015478516,.14863364,2790
Table A.7,5,Wage*Efficiency treatment,-.0117430545942481,.014547431,.14863364,2790
Table A.7,5,Constant,-.9547819483822011,.50090742,.14863364,2790
Table A.7,6,Wage,.1273133710380881,.011371898,.15567641,2790
Table A.7,6,GE treatment,-1.162657852892835,.64577526,.15567641,2790
Table A.7,6,Efficiency treatment,-2.030265070117119,.77094644,.15567641,2790
Table A.7,6,Wage*GE treatment,.0132930736826526,.015412752,.15567641,2790
Table A.7,6,Wage*Efficiency treatment,-.0117083010491494,.014408362,.15567641,2790
Table A.7,6,Constant,-2.910375835486952,1.3439944,.15567641,2790
Table A.8,1,GE treatment,-10.19636524822694,3.9526601,.057946682,140
Table A.8,1,Neutral treatment,-.570833333333336,4.1741667,.057946682,140
Table A.8,1,Constant,35.77083333333333,3.1065388,.057946682,140
Table A.8,2,GE treatment,-10.18863330928675,3.9523938,.062824421,140
Table A.8,2,Neutral treatment,-.7228010786850257,4.1841741,.062824421,140
